REFRIGERANT,T_1_K,T_3_K,P_1,P_3,S_1,H_1,S_3,H_3,P_4,P_2,S_4,H_2_ISENTROPIC,H_4_ISENTROPIC,T_1,T_3
R134a,274.15,316.15,303560.704599,1100886.82474,1004.88403327,201.344812471,1709.97730986,420.70216824,303560.704599,1100886.82474,1709.97730986,201.961695953,394.646134248,1.0,43.0
R134a,274.15,317.15,303560.704599,1130116.39414,1004.88403327,201.344812471,1709.60809188,421.113975521,303560.704599,1130116.39414,1709.60809188,201.984291828,394.544913139,1.0,44.0
R134a,274.15,318.15,303560.704599,1159924.23834,1004.88403327,201.344812471,1709.23300575,421.519096472,303560.704599,1159924.23834,1709.23300575,202.00733338,394.442083277,1.0,45.0
R134a,274.15,319.15,303560.704599,1190317.93655,1004.88403327,201.344812471,1708.85143826,421.917328869,303560.704599,1190317.93655,1708.85143826,202.03082639,394.33747655,1.0,46.0
R134a,274.15,320.15,303560.704599,1221305.14157,1004.88403327,201.344812471,1708.46275532,422.308461296,303560.704599,1221305.14157,1708.46275532,202.054776691,394.230919122,1.0,47.0
R134a,274.15,321.15,303560.704599,1252893.5826,1004.88403327,201.344812471,1708.06630042,422.692272538,303560.704599,1252893.5826,1708.06630042,202.079190173,394.12223101,1.0,48.0
R134a,274.15,322.15,303560.704599,1285091.06834,1004.88403327,201.344812471,1707.66139289,423.068530916,303560.704599,1285091.06834,1707.66139289,202.104072783,394.01122561,1.0,49.0
R134a,274.15,323.15,303560.704599,1317905.49004,1004.88403327,201.344812471,1707.24732613,423.436993587,303560.704599,1317905.49004,1707.24732613,202.129430531,393.897709208,1.0,50.0
R134a,274.15,324.15,303560.704599,1351344.82532,1004.88403327,201.344812471,1706.8233655,423.797405742,303560.704599,1351344.82532,1706.8233655,202.155269489,393.781480402,1.0,51.0
R134a,274.15,325.15,303560.704599,1385417.14167,1004.88403327,201.344812471,1706.38874622,424.149499773,303560.704599,1385417.14167,1706.38874622,202.181595795,393.662329525,1.0,52.0
R134a,274.15,326.15,303560.704599,1420130.60047,1004.88403327,201.344812471,1705.94267093,424.492994339,303560.704599,1420130.60047,1705.94267093,202.208415658,393.540037984,1.0,53.0
R134a,274.15,327.15,303560.704599,1455493.46133,1004.88403327,201.344812471,1705.48430711,424.827593356,303560.704599,1455493.46133,1705.48430711,202.235735356,393.414377543,1.0,54.0
R134a,274.15,328.15,303560.704599,1491514.0867,1004.88403327,201.344812471,1705.01278421,425.152984879,303560.704599,1491514.0867,1705.01278421,202.263561247,393.285109542,1.0,55.0
R134a,274.15,329.15,303560.704599,1528200.94676,1004.88403327,201.344812471,1704.52719053,425.468839884,303560.704599,1528200.94676,1704.52719053,202.291899765,393.151984034,1.0,56.0
R134a,274.15,330.15,303560.704599,1565562.62476,1004.88403327,201.344812471,1704.02656974,425.774810924,303560.704599,1565562.62476,1704.02656974,202.320757431,393.014738843,1.0,57.0
R134a,274.15,331.15,303560.704599,1603607.82278,1004.88403327,201.344812471,1703.50991708,426.070530648,303560.704599,1603607.82278,1703.50991708,202.350140851,392.873098517,1.0,58.0
R134a,274.15,332.15,303560.704599,1642345.36778,1004.88403327,201.344812471,1702.97617518,426.35561016,303560.704599,1642345.36778,1702.97617518,202.380056725,392.726773174,1.0,59.0
R134a,274.15,333.15,303560.704599,1681784.2183,1004.88403327,201.344812471,1702.42422936,426.629637212,303560.704599,1681784.2183,1702.42422936,202.410511851,392.575457229,1.0,60.0
R134a,274.15,334.15,303560.704599,1721933.47158,1004.88403327,201.344812471,1701.8529025,426.892174183,303560.704599,1721933.47158,1701.8529025,202.441513127,392.41882797,1.0,61.0
R134a,274.15,335.15,303560.704599,1762802.37128,1004.88403327,201.344812471,1701.26094923,427.142755843,303560.704599,1762802.37128,1701.26094923,202.473067565,392.256543982,1.0,62.0
R134a,274.15,336.15,303560.704599,1804400.3158,1004.88403327,201.344812471,1700.64704954,427.380886849,303560.704599,1804400.3158,1700.64704954,202.505182287,392.088243382,1.0,63.0
R134a,274.15,337.15,303560.704599,1846736.86731,1004.88403327,201.344812471,1700.00980155,427.606038946,303560.704599,1846736.86731,1700.00980155,202.53786454,391.913541843,1.0,64.0
R134a,274.15,338.15,303560.704599,1889821.76158,1004.88403327,201.344812471,1699.3477134,427.817647824,303560.704599,1889821.76158,1699.3477134,202.571121699,391.732030379,1.0,65.0
R134a,274.15,339.15,303560.704599,1933664.91861,1004.88403327,201.344812471,1698.65919419,428.015109575,303560.704599,1933664.91861,1698.65919419,202.604961277,391.543272836,1.0,66.0
R134a,274.15,340.15,303560.704599,1978276.4538,1004.88403327,201.344812471,1697.94254369,428.19777672,303560.704599,1978276.4538,1697.94254369,202.639390932,391.346803101,1.0,67.0
R134a,274.15,341.15,303560.704599,2023666.69142,1004.88403327,201.344812471,1697.1959405,428.36495363,303560.704599,2023666.69142,1697.1959405,202.674418481,391.142121838,1.0,68.0
R134a,274.15,342.15,303560.704599,2069846.17744,1004.88403327,201.344812471,1696.41742895,428.515891415,303560.704599,2069846.17744,1696.41742895,202.710051902,390.928692897,1.0,69.0
R134a,274.15,343.15,303560.704599,2116825.69503,1004.88403327,201.344812471,1695.60490376,428.649782016,303560.704599,2116825.69503,1695.60490376,202.746299355,390.705939117,1.0,70.0
R134a,275.15,274.15,314619.437547,303560.704599,1009.75939346,202.69240345,1726.5367642,399.185908656,314619.437547,303560.704599,1726.5367642,202.681392466,399.913740713,2.0,1.0
R134a,275.15,275.15,314619.437547,314619.437547,1009.75939346,202.69240345,1726.00025542,399.766076619,314619.437547,314619.437547,1726.00025542,202.69240345,399.766076619,2.0,2.0
R134a,275.15,276.15,314619.437547,325984.931468,1009.75939346,202.69240345,1725.47584192,400.343901233,314619.437547,325984.931468,1725.47584192,202.701226526,399.621784244,2.0,3.0
R134a,275.15,277.15,314619.437547,337662.77759,1009.75939346,202.69240345,1724.96313504,400.919325263,314619.437547,337662.77759,1724.96313504,202.710291867,399.480712945,2.0,4.0
R134a,275.15,278.15,314619.437547,349658.607861,1009.75939346,202.69240345,1724.46174837,401.492290469,314619.437547,349658.607861,1724.46174837,202.719603827,399.342756405,2.0,5.0
R134a,275.15,279.15,314619.437547,361978.094755,1009.75939346,202.69240345,1723.97129758,402.062737549,314619.437547,361978.094755,1723.97129758,202.729166789,399.20780887,2.0,6.0
R134a,275.15,280.15,314619.437547,374626.951095,1009.75939346,202.69240345,1723.49140009,402.630606086,314619.437547,374626.951095,1723.49140009,202.738985171,399.075765076,2.0,7.0
R134a,275.15,281.15,314619.437547,387610.929908,1009.75939346,202.69240345,1723.0216749,403.195834483,314619.437547,387610.929908,1723.0216749,202.749063416,398.946520189,2.0,8.0
R134a,275.15,282.15,314619.437547,400935.824299,1009.75939346,202.69240345,1722.56174228,403.758359904,314619.437547,400935.824299,1722.56174228,202.759406001,398.81996973,2.0,9.0
R134a,275.15,283.15,314619.437547,414607.467363,1009.75939346,202.69240345,1722.11122357,404.318118207,314619.437547,414607.467363,1722.11122357,202.770017432,398.696009505,2.0,10.0
R134a,275.15,284.15,314619.437547,428631.732112,1009.75939346,202.69240345,1721.66974087,404.875043881,314619.437547,428631.732112,1721.66974087,202.780902243,398.57453554,2.0,11.0
R134a,275.15,285.15,314619.437547,443014.531448,1009.75939346,202.69240345,1721.23691682,405.429069967,314619.437547,443014.531448,1721.23691682,202.792065,398.455444003,2.0,12.0
R134a,275.15,286.15,314619.437547,457761.81815,1009.75939346,202.69240345,1720.8123743,405.980127992,314619.437547,457761.81815,1720.8123743,202.8035103,398.338631129,2.0,13.0
R134a,275.15,287.15,314619.437547,472879.584911,1009.75939346,202.69240345,1720.39573619,406.52814789,314619.437547,472879.584911,1720.39573619,202.815242765,398.223993153,2.0,14.0
R134a,275.15,288.15,314619.437547,488373.864391,1009.75939346,202.69240345,1719.98662505,407.073057918,314619.437547,488373.864391,1719.98662505,202.827267052,398.111426222,2.0,15.0
R134a,275.15,289.15,314619.437547,504250.729321,1009.75939346,202.69240345,1719.58466285,407.614784576,314619.437547,504250.729321,1719.58466285,202.839587845,398.000826324,2.0,16.0
R134a,275.15,290.15,314619.437547,520516.29263,1009.75939346,202.69240345,1719.18947069,408.153252516,314619.437547,520516.29263,1719.18947069,202.852209858,397.892089202,2.0,17.0
R134a,275.15,291.15,314619.437547,537176.707623,1009.75939346,202.69240345,1718.80066848,408.688384453,314619.437547,537176.707623,1718.80066848,202.865137837,397.785110273,2.0,18.0
R134a,275.15,292.15,314619.437547,554238.168187,1009.75939346,202.69240345,1718.41787461,409.220101061,314619.437547,554238.168187,1718.41787461,202.878376555,397.679784539,2.0,19.0
R134a,275.15,293.15,314619.437547,571706.909044,1009.75939346,202.69240345,1718.04070566,409.748320879,314619.437547,571706.909044,1718.04070566,202.891930818,397.576006502,2.0,20.0
R134a,275.15,294.15,314619.437547,589589.206049,1009.75939346,202.69240345,1717.66877604,410.272960198,314619.437547,589589.206049,1717.66877604,202.905805461,397.473670068,2.0,21.0
R134a,275.15,295.15,314619.437547,607891.376526,1009.75939346,202.69240345,1717.30169766,410.793932952,314619.437547,607891.376526,1717.30169766,202.92000535,397.372668451,2.0,22.0
R134a,275.15,296.15,314619.437547,626619.779657,1009.75939346,202.69240345,1716.93907956,411.311150596,314619.437547,626619.779657,1716.93907956,202.934535382,397.27289408,2.0,23.0
R134a,275.15,297.15,314619.437547,645780.816919,1009.75939346,202.69240345,1716.58052752,411.824521984,314619.437547,645780.816919,1716.58052752,202.949400486,397.174238488,2.0,24.0
R134a,275.15,298.15,314619.437547,665380.932569,1009.75939346,202.69240345,1716.22564372,412.333953232,314619.437547,665380.932569,1716.22564372,202.964605622,397.076592209,2.0,25.0
R134a,275.15,299.15,314619.437547,685426.614182,1009.75939346,202.69240345,1715.87402627,412.839347585,314619.437547,685426.614182,1715.87402627,202.98015578,396.979844668,2.0,26.0
R134a,275.15,300.15,314619.437547,705924.393254,1009.75939346,202.69240345,1715.52526883,413.340605266,314619.437547,705924.393254,1715.52526883,202.996055986,396.883884059,2.0,27.0
R134a,275.15,301.15,314619.437547,726880.845848,1009.75939346,202.69240345,1715.17896015,413.837623319,314619.437547,726880.845848,1715.17896015,203.012311295,396.788597225,2.0,28.0
R134a,275.15,302.15,314619.437547,748302.593316,1009.75939346,202.69240345,1714.83468359,414.330295445,314619.437547,748302.593316,1714.83468359,203.028926799,396.69386953,2.0,29.0
R134a,275.15,303.15,314619.437547,770196.303077,1009.75939346,202.69240345,1714.49201665,414.818511828,314619.437547,770196.303077,1714.49201665,203.045907621,396.599584723,2.0,30.0
R134a,275.15,304.15,314619.437547,792568.689465,1009.75939346,202.69240345,1714.15053046,415.302158948,314619.437547,792568.689465,1714.15053046,203.06325892,396.505624796,2.0,31.0
R134a,275.15,305.15,314619.437547,815426.514648,1009.75939346,202.69240345,1713.80978918,415.781119382,314619.437547,815426.514648,1713.80978918,203.08098589,396.411869835,2.0,32.0
R134a,275.15,306.15,314619.437547,838776.589625,1009.75939346,202.69240345,1713.46934952,416.255271598,314619.437547,838776.589625,1713.46934952,203.099093759,396.31819786,2.0,33.0
R134a,275.15,307.15,314619.437547,862625.775293,1009.75939346,202.69240345,1713.12876003,416.724489726,314619.437547,862625.775293,1713.12876003,203.117587794,396.224484662,2.0,34.0
